,companyName,securityName,website,name,nickname
IPGP,IPG Photonics Corp.,IPG Photonics Corporation,ipgphotonics,IPG Photonics,IPG
IQV,"IQVIA Holdings, Inc.",IQVIA Holdings Inc,iqvia,IQVIA Holdings,IQVIA
IR,Ingersoll-Rand Plc,Ingersoll-Rand Plc,ingersoll-rand,Ingersoll-Rand,Ingersoll-Rand
IRM,"Iron Mountain, Inc.","Iron Mountain, Inc.",ironmountain,Iron Mountain,Iron
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",intuitivesurgical,Intuitive Surgical,Intuitive
IT,"Gartner, Inc.","Gartner, Inc.",gartner,Gartner,Gartner
ITW,"Illinois Tool Works, Inc.",Illinois Tool Works Inc.,itw,Illinois Tool Works,Illinois
IVZ,Invesco Ltd.,Invesco Ltd.,invesco,Invesco,Invesco
JBHT,"J.B. Hunt Transport Services, Inc.","J.B. Hunt Transport Services, Inc.",jbhunt,J.B. Hunt Transport Services,J.B.
JCI,Johnson Controls International Plc,Johnson Controls International plc,johnsoncontrols,Johnson Controls International,Johnson
JEC,"Jacobs Engineering Group, Inc.",Jacobs Engineering Group Inc.,jacobs,Jacobs Engineering Group,Jacobs
JEF,"Jefferies Financial Group, Inc.",Jefferies Financial Group Inc.,jefferies,Jefferies Financial Group,Jefferies
JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",jackhenry,Jack Henry & Associates,Jack
JNJ,Johnson & Johnson,Johnson & Johnson,jnj,Johnson & Johnson,Johnson
JNPR,"Juniper Networks, Inc.","Juniper Networks, Inc.",juniper,Juniper Networks,Juniper
JPM,JPMorgan Chase & Co.,JPMorgan Chase & Co.,jpmorganchase,JPMorgan Chase,JPMorgan
JWN,"Nordstrom, Inc.","Nordstrom, Inc.",nordstrom,Nordstrom,Nordstrom
K,Kellogg Co.,Kellogg Company,kelloggcompany,Kellogg,Kellogg
KEY,KeyCorp,KeyCorp,key,KeyCorp,KeyCorp
KEYS,"Keysight Technologies, Inc.",Keysight Technologies Inc,keysight,Keysight Technologies,Keysight
KHC,The Kraft Heinz Co.,Kraft Heinz Company,kraftheinzcompany,Kraft Heinz,Kraft
KIM,Kimco Realty Corp.,Kimco Realty Corporation,kimcorealty,Kimco Realty,Kimco
KLAC,KLA Corp.,KLA Corporation,kla-tencor,KLA,KLA
KMB,Kimberly-Clark Corp.,Kimberly-Clark Corporation,kimberly-clark,Kimberly-Clark,Kimberly-Clark
KMI,"Kinder Morgan, Inc.",Kinder Morgan Inc Class P,kindermorgan,Kinder Morgan,Kinder
KMX,"CarMax, Inc.","CarMax, Inc.",carmax,CarMax,CarMax
KO,The Coca-Cola Co.,Coca-Cola Company,coca-colacompany,Coca-Cola,Coca-Cola
KR,The Kroger Co.,Kroger Co.,kroger,Kroger,Kroger
KSS,Kohl's Corp.,Kohl's Corporation,kohls,Kohl's,Kohl's
KSU,Kansas City Southern,Kansas City Southern,kcsouthern,Kansas City Southern,Kansas
L,Loews Corp.,Loews Corporation,loews,Loews,Loews
LB,"L Brands, Inc.","L Brands, Inc.",lb,L Brands,L
LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",leidos,Leidos Holdings,Leidos
LEG,"Leggett & Platt, Inc.","Leggett & Platt, Incorporated",leggett,Leggett & Platt,Leggett
LEN,Lennar Corp.,Lennar Corporation Class A,lennar,Lennar,Lennar
LH,Laboratory Corp. of America Holdings,Laboratory Corporation of America Holdings,labcorp,Laboratory Corp. of America,Laboratory
LHX,"L3Harris Technologies, Inc.",L3Harris Technologies Inc,l3harris,L3Harris Technologies,L3Harris
LIN,Linde Plc,Linde plc,lindeplc,Linde,Linde
LKQ,LKQ Corp.,LKQ Corporation,lkqcorp,LKQ,LKQ
LLY,Eli Lilly & Co.,Eli Lilly and Company,lilly,Eli Lilly,Eli
LMT,Lockheed Martin Corp.,Lockheed Martin Corporation,lockheedmartin,Lockheed Martin,Lockheed
LNC,Lincoln National Corp.,Lincoln National Corporation,lfg,Lincoln National,Lincoln
LNT,Alliant Energy Corp.,Alliant Energy Corp,alliantenergy,Alliant Energy,Alliant
LOW,"Lowe's Cos., Inc.","Lowe's Companies, Inc.",lowes,Lowe's Cos.,Lowe's
LRCX,Lam Research Corp.,Lam Research Corporation,lamresearch,Lam Research,Lam
LUV,Southwest Airlines Co.,Southwest Airlines Co.,southwest,Southwest Airlines,Southwest
LW,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc.",lambweston,Lamb Weston Holdings,Lamb
LYB,LyondellBasell Industries NV,LyondellBasell Industries NV,com,LyondellBasell Industries NV,LyondellBasell
M,"Macy's, Inc.",Macy's Inc,macysinc,Macy's,Macy's
MA,"Mastercard, Inc.",Mastercard Incorporated Class A,mastercard,Mastercard,Mastercard
MAA,"Mid-America Apartment Communities, Inc.","Mid-America Apartment Communities, Inc.",maac,Mid-America Apartment Communities,Mid-America
MAC,Macerich Co.,Macerich Company,macerich,Macerich,Macerich
MAR,"Marriott International, Inc.","Marriott International, Inc. Class A",marriott,Marriott International,Marriott
MAS,Masco Corp.,Masco Corporation,masco,Masco,Masco
MCD,McDonald's Corp.,McDonald's Corporation,mcdonalds,McDonald's,McDonald's
MCHP,"Microchip Technology, Inc.",Microchip Technology Incorporated,microchip,Microchip Technology,Microchip
MCK,McKesson Corp.,McKesson Corporation,mckesson,McKesson,McKesson
MCO,Moody's Corp.,Moody's Corporation,moodys,Moody's,Moody's
MDLZ,"Mondelez International, Inc.","Mondelez International, Inc. Class A",mondelezinternational,Mondelez International,Mondelez
MDT,Medtronic Plc,Medtronic Plc,medtronic,Medtronic,Medtronic
MET,"MetLife, Inc.","MetLife, Inc.",metlife,MetLife,MetLife
MGM,MGM Resorts International,MGM Resorts International,mgmresorts,MGM Resorts International,MGM
MHK,"Mohawk Industries, Inc.","Mohawk Industries, Inc.",mohawkind,Mohawk Industries,Mohawk
MKC,"McCormick & Co., Inc.","McCormick & Company, Incorporated",mccormickcorporation,McCormick,McCormick
MKTX,"MarketAxess Holdings, Inc.",MarketAxess Holdings Inc.,marketaxess,MarketAxess Holdings,MarketAxess
MLM,"Martin Marietta Materials, Inc.","Martin Marietta Materials, Inc.",martinmarietta,Martin Marietta Materials,Martin
MMC,"Marsh & McLennan Cos., Inc.","Marsh & McLennan Companies, Inc.",com,Marsh & McLennan Cos.,Marsh
MMM,3M Co.,3M Company,3m,3M,3M
MNST,Monster Beverage Corp.,Monster Beverage Corporation,monsterbevcorp,Monster Beverage,Monster
MO,"Altria Group, Inc.",Altria Group Inc,altria,Altria Group,Altria
MOS,The Mosaic Co.,Mosaic Company,mosaicco,Mosaic,Mosaic
MPC,Marathon Petroleum Corp.,Marathon Petroleum Corporation,marathonpetroleum,Marathon Petroleum,Marathon
MRK,"Merck & Co., Inc.","Merck & Co., Inc.",merck,Merck,Merck
MRO,Marathon Oil Corp.,Marathon Oil Corporation,marathonoil,Marathon Oil,Marathon
MS,Morgan Stanley,Morgan Stanley,morganstanley,Morgan Stanley,Morgan
MSCI,"MSCI, Inc.",MSCI Inc. Class A,msci,MSCI,MSCI
MSFT,Microsoft Corp.,Microsoft Corporation,microsoft,Microsoft,Microsoft
MSI,"Motorola Solutions, Inc.","Motorola Solutions, Inc.",motorolasolutions,Motorola Solutions,Motorola
MTB,M&T Bank Corp.,M&T Bank Corporation,mtb,M&T Bank,M&T
MTD,"Mettler-Toledo International, Inc.",Mettler-Toledo International Inc.,us,Mettler-Toledo International,Mettler-Toledo
MU,"Micron Technology, Inc.","Micron Technology, Inc.",micron,Micron Technology,Micron
MXIM,"Maxim Integrated Products, Inc.","Maxim Integrated Products, Inc.",maximintegrated,Maxim Integrated Products,Maxim
MYL,Mylan NV,Mylan N.V.,co,Mylan NV,Mylan
NBL,"Noble Energy, Inc.","Noble Energy, Inc.",nblenergy,Noble Energy,Noble
NCLH,Norwegian Cruise Line Holdings Ltd.,Norwegian Cruise Line Holdings Ltd.,ncl,Norwegian Cruise Line Holdings,Norwegian
NDAQ,"Nasdaq, Inc.","Nasdaq, Inc.",nasdaq,Nasdaq,Nasdaq
NEE,"NextEra Energy, Inc.","NextEra Energy, Inc.",nexteraenergy,NextEra Energy,NextEra
NEM,Newmont Goldcorp Corp.,Newmont Goldcorp Corporation,newmont,Newmont Goldcorp,Newmont
NFLX,"Netflix, Inc.","Netflix, Inc.",netflix,Netflix,Netflix
NI,"NiSource, Inc.",NiSource Inc,nisource,NiSource,NiSource
NKE,"NIKE, Inc.","NIKE, Inc. Class B",nike,NIKE,NIKE
NKTR,Nektar Therapeutics,Nektar Therapeutics,nektar,Nektar Therapeutics,Nektar
NLSN,Nielsen Holdings Plc,Nielsen Holdings Plc,com,Nielsen Holdings,Nielsen
NOC,Northrop Grumman Corp.,Northrop Grumman Corporation,northropgrumman,Northrop Grumman,Northrop
NOV,"National Oilwell Varco, Inc.","National Oilwell Varco, Inc.",nov,National Oilwell Varco,National
NRG,"NRG Energy, Inc.","NRG Energy, Inc.",nrg,NRG Energy,NRG
NSC,Norfolk Southern Corp.,Norfolk Southern Corporation,nscorp,Norfolk Southern,Norfolk
NTAP,"NetApp, Inc.","NetApp, Inc.",netapp,NetApp,NetApp
NTRS,Northern Trust Corp.,Northern Trust Corporation,northerntrust,Northern Trust,Northern
NUE,Nucor Corp.,Nucor Corporation,nucor,Nucor,Nucor
NVDA,NVIDIA Corp.,NVIDIA Corporation,nvidia,NVIDIA,NVIDIA
NWL,"Newell Brands, Inc.",Newell Brands Inc,newellbrands,Newell Brands,Newell
NWS,News Corp.,News Corporation Class B,newscorp,News,News
NWSA,News Corp.,News Corporation Class A,newscorp,News,News
O,Realty Income Corp.,Realty Income Corporation,realtyincome,Realty Income,Realty
OKE,"ONEOK, Inc.","ONEOK, Inc.",oneok,ONEOK,ONEOK
OMC,"Omnicom Group, Inc.",Omnicom Group Inc,omnicomgroup,Omnicom Group,Omnicom
ORCL,Oracle Corp.,Oracle Corporation,oracle,Oracle,Oracle
ORLY,"O'Reilly Automotive, Inc.","O'Reilly Automotive, Inc.",oreillyauto,O'Reilly Automotive,O'Reilly
OXY,Occidental Petroleum Corp.,Occidental Petroleum Corporation,oxy,Occidental Petroleum,Occidental
PAYX,"Paychex, Inc.","Paychex, Inc.",paychex,Paychex,Paychex
PBCT,"People's United Financial, Inc.","People's United Financial, Inc.",peoples,People's United Financial,People's
PCAR,"PACCAR, Inc.",PACCAR Inc,paccar,PACCAR,PACCAR
PEG,"Public Service Enterprise Group, Inc.",Public Service Enterprise Group Inc,pseg,Public Service Enterprise Group,Public
PEP,"PepsiCo, Inc.","PepsiCo, Inc.",pepsico,PepsiCo,PepsiCo
PFE,Pfizer Inc.,Pfizer Inc.,pfizer,,
PFG,"Principal Financial Group, Inc.","Principal Financial Group, Inc.",principal,Principal Financial Group,Principal
PG,Procter & Gamble Co.,Procter & Gamble Company,pg,Procter & Gamble,Procter
PGR,Progressive Corp.,Progressive Corporation,progressive,Progressive,Progressive
PH,Parker-Hannifin Corp.,Parker-Hannifin Corporation,parker,Parker-Hannifin,Parker-Hannifin
PHM,"PulteGroup, Inc.","PulteGroup, Inc.",pultegroupinc,PulteGroup,PulteGroup
PKG,Packaging Corporation of America,Packaging Corporation of America,packagingcorp,Packaging Corporation of,Packaging
PKI,"PerkinElmer, Inc. (United States)","PerkinElmer, Inc.",perkinelmer,PerkinElmer,PerkinElmer
PLD,"Prologis, Inc.","Prologis, Inc.",prologis,Prologis,Prologis
PM,"Philip Morris International, Inc.",Philip Morris International Inc.,pmi,Philip Morris International,Philip
PNC,"The PNC Financial Services Group, Inc.","PNC Financial Services Group, Inc.",pnc,PNC Financial Services Group,PNC
PNR,Pentair Plc,Pentair plc,pentair,Pentair,Pentair
PNW,Pinnacle West Capital Corp.,Pinnacle West Capital Corporation,pinnaclewest,Pinnacle West Capital,Pinnacle
PPG,"PPG Industries, Inc.","PPG Industries, Inc.",ppg,PPG Industries,PPG
PPL,PPL Corp.,PPL Corporation,pplweb,PPL,PPL
PRGO,Perrigo Co. Plc,Perrigo Co. Plc,perrigo,Perrigo,Perrigo
PRU,"Prudential Financial, Inc.","Prudential Financial, Inc.",prudential,Prudential Financial,Prudential
PSA,Public Storage,Public Storage,publicstorage,Public Storage,Public
PSX,Phillips 66,Phillips 66,phillips66,Phillips 66,Phillips
PVH,PVH Corp.,PVH Corp.,pvh,PVH,PVH
PWR,"Quanta Services, Inc.","Quanta Services, Inc.",quantaservices,Quanta Services,Quanta
PXD,Pioneer Natural Resources Co.,Pioneer Natural Resources Company,pxd,Pioneer Natural Resources,Pioneer
PYPL,"PayPal Holdings, Inc.",PayPal Holdings Inc,paypal,PayPal Holdings,PayPal
QCOM,"QUALCOMM, Inc.",QUALCOMM Incorporated,qualcomm,QUALCOMM,QUALCOMM
QRVO,"Qorvo, Inc.","Qorvo, Inc.",qorvo,Qorvo,Qorvo
RCL,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.,rclcorporate,Royal Caribbean Cruises,Royal
RE,Everest Re Group Ltd.,"Everest Re Group, Ltd.",everestre,Everest Re Group,Everest
REG,Regency Centers Corp.,Regency Centers Corporation,regencycenters,Regency Centers,Regency
REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",regeneron,Regeneron Pharmaceuticals,Regeneron
RF,Regions Financial Corp.,Regions Financial Corporation,regions,Regions Financial,Regions
RHI,"Robert Half International, Inc.",Robert Half International Inc.,roberthalf,Robert Half International,Robert
RJF,"Raymond James Financial, Inc.","Raymond James Financial, Inc.",raymondjames,Raymond James Financial,Raymond
RL,Ralph Lauren Corp.,Ralph Lauren Corporation Class A,ralphlauren,Ralph Lauren,Ralph
RMD,"ResMed, Inc.",ResMed Inc.,resmed,ResMed,ResMed
ROK,"Rockwell Automation, Inc.","Rockwell Automation, Inc.",rockwellautomation,Rockwell Automation,Rockwell
ROL,"Rollins, Inc.","Rollins, Inc.",rollins,Rollins,Rollins
ROP,"Roper Technologies, Inc.","Roper Technologies, Inc.",ropertech,Roper Technologies,Roper
ROST,"Ross Stores, Inc.","Ross Stores, Inc.",rossstores,Ross Stores,Ross
RSG,"Republic Services, Inc.","Republic Services, Inc.",republicservices,Republic Services,Republic
RTN,Raytheon Co.,Raytheon Company,raytheon,Raytheon,Raytheon
SBAC,SBA Communications Corp.,SBA Communications Corp. Class A,sbasite,SBA Communications,SBA
SBUX,Starbucks Corp.,Starbucks Corporation,starbucks,Starbucks,Starbucks
SCHW,The Charles Schwab Corp.,Charles Schwab Corporation,aboutschwab,Charles Schwab,Charles
SEE,Sealed Air Corp.,Sealed Air Corporation,sealedair,Sealed Air,Sealed
SHW,The Sherwin-Williams Co.,Sherwin-Williams Company,sherwin-williams,Sherwin-Williams,Sherwin-Williams
SIVB,SVB Financial Group,SVB Financial Group,svb,SVB Financial Group,SVB
SJM,The J. M. Smucker Co.,J.M. Smucker Company,jmsmucker,J. M. Smucker,J.
SLB,Schlumberger NV,Schlumberger NV,slb,Schlumberger NV,Schlumberger
SLG,SL Green Realty Corp.,SL Green Realty Corp.,slgreen,SL Green Realty,SL
SNA,"Snap-On, Inc.",Snap-on Incorporated,snapon,Snap-On,Snap-On
SNPS,"Synopsys, Inc.","Synopsys, Inc.",synopsys,Synopsys,Synopsys
SO,The Southern Co.,Southern Company,southerncompany,Southern,Southern
SPG,"Simon Property Group, Inc.","Simon Property Group, Inc.",simon,Simon Property Group,Simon
SPGI,"S&P Global, Inc.","S&P Global, Inc.",spglobal,S&P Global,S&P
SRE,Sempra Energy,Sempra Energy,sempra,Sempra Energy,Sempra
STI,"SunTrust Banks, Inc.","SunTrust Banks, Inc.",suntrust,SunTrust Banks,SunTrust
STT,State Street Corp.,State Street Corporation,statestreet,State Street,State
STX,Seagate Technology Plc,Seagate Technology PLC,seagate,Seagate Technology,Seagate
STZ,"Constellation Brands, Inc.","Constellation Brands, Inc. Class A",cbrands,Constellation Brands,Constellation
SWK,"Stanley Black & Decker, Inc.","Stanley Black & Decker, Inc.",stanleyblackanddecker,Stanley Black & Decker,Stanley
SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",skyworksinc,Skyworks Solutions,Skyworks
SYF,Synchrony Financial,Synchrony Financial,synchronyfinancial,Synchrony Financial,Synchrony
SYK,Stryker Corp.,Stryker Corporation,stryker,Stryker,Stryker
SYMC,Symantec Corp.,Symantec Corporation,symantec,Symantec,Symantec
SYY,Sysco Corp.,Sysco Corporation,sysco,Sysco,Sysco
T,"AT&T, Inc.",AT&T Inc.,att,AT&T,AT&T
TAP,Molson Coors Brewing Co.,Molson Coors Brewing Company Class B,molsoncoors,Molson Coors Brewing,Molson
TDG,"TransDigm Group, Inc.",TransDigm Group Incorporated,transdigm,TransDigm Group,TransDigm
TEL,TE Connectivity Ltd.,TE Connectivity Ltd.,teconnectivity,TE Connectivity,TE
TFX,"Teleflex, Inc.",Teleflex Incorporated,teleflex,Teleflex,Teleflex
TGT,Target Corp.,Target Corporation,target,Target,Target
TIF,Tiffany & Co.,Tiffany & Co.,tiffany,Tiffany,Tiffany
TJX,"The TJX Cos., Inc.",TJX Companies Inc,tjx,TJX Cos.,TJX
TMO,"Thermo Fisher Scientific, Inc.",Thermo Fisher Scientific Inc.,thermofisher,Thermo Fisher Scientific,Thermo
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc.",t-mobile,T-Mobile US,T-Mobile
TPR,"Tapestry, Inc.","Tapestry, Inc.",tapestry,Tapestry,Tapestry
TRIP,"TripAdvisor, Inc.","TripAdvisor, Inc.",tripadvisor,TripAdvisor,TripAdvisor
TROW,"T. Rowe Price Group, Inc.",T. Rowe Price Group,troweprice,T. Rowe Price Group,T.
TRV,"The Travelers Cos., Inc.","Travelers Companies, Inc.",travelers,Travelers Cos.,Travelers
TSCO,Tractor Supply Co.,Tractor Supply Company,tractorsupply,Tractor Supply,Tractor
TSN,"Tyson Foods, Inc.","Tyson Foods, Inc. Class A",tysonfoods,Tyson Foods,Tyson
TSS,"Total System Services, Inc.","Total System Services, Inc.",tsys,Total System Services,Total
TTWO,"Take-Two Interactive Software, Inc.","Take-Two Interactive Software, Inc.",take2games,Take-Two Interactive Software,Take-Two
TWTR,"Twitter, Inc.","Twitter, Inc.",twitter,Twitter,Twitter
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,ti,,
TXT,"Textron, Inc.",Textron Inc.,textron,Textron,Textron
UA,"Under Armour, Inc.","Under Armour, Inc. Class C",underarmour,Under Armour,Under
UAA,"Under Armour, Inc.","Under Armour, Inc. Class A",underarmour,Under Armour,Under
UAL,"United Airlines Holdings, Inc.","United Airlines Holdings, Inc.",unitedcontinentalholdings,United Airlines Holdings,United
UDR,"UDR, Inc.","UDR, Inc.",udr,UDR,UDR
UHS,"Universal Health Services, Inc.","Universal Health Services, Inc. Class B",uhsinc,Universal Health Services,Universal
ULTA,"Ulta Beauty, Inc.",Ulta Beauty Inc,ulta,Ulta Beauty,Ulta
UNH,"UnitedHealth Group, Inc.",UnitedHealth Group Incorporated,unitedhealthgroup,UnitedHealth Group,UnitedHealth
UNM,Unum Group,Unum Group,co,Unum Group,Unum
UNP,Union Pacific Corp.,Union Pacific Corporation,up,Union Pacific,Union
UPS,"United Parcel Service, Inc.","United Parcel Service, Inc. Class B",ups,United Parcel Service,United
URI,"United Rentals, Inc.","United Rentals, Inc.",unitedrentals,United Rentals,United
USB,U.S. Bancorp,U.S. Bancorp,usbank,U.S. Bancorp,U.S.
UTX,United Technologies Corp.,United Technologies Corporation,utc,United Technologies,United
V,"Visa, Inc.",Visa Inc. Class A,visa,Visa,Visa
VAR,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",varian,Varian Medical Systems,Varian
VFC,VF Corp.,V.F. Corporation,vfc,VF,VF
VIAB,"Viacom, Inc.",Viacom Inc. Class B,viacom,Viacom,Viacom
VLO,Valero Energy Corp.,Valero Energy Corporation,valero,Valero Energy,Valero
VMC,Vulcan Materials Co.,Vulcan Materials Company,vulcanmaterials,Vulcan Materials,Vulcan
VNO,Vornado Realty Trust,Vornado Realty Trust,vno,Vornado Realty Trust,Vornado
VRSK,"Verisk Analytics, Inc.",Verisk Analytics Inc,verisk,Verisk Analytics,Verisk
VRSN,"VeriSign, Inc.","VeriSign, Inc.",verisigninc,VeriSign,VeriSign
VRTX,"Vertex Pharmaceuticals, Inc.",Vertex Pharmaceuticals Incorporated,vrtx,Vertex Pharmaceuticals,Vertex
VTR,"Ventas, Inc.","Ventas, Inc.",ventasreit,Ventas,Ventas
VZ,"Verizon Communications, Inc.",Verizon Communications Inc.,verizon,Verizon Communications,Verizon
WAB,Westinghouse Air Brake Technologies Corp.,Westinghouse Air Brake Technologies Corporation,wabtec,Westinghouse Air Brake Technologies,Westinghouse
WAT,Waters Corp.,Waters Corporation,waters,Waters,Waters
WBA,"Walgreens Boots Alliance, Inc.",Walgreens Boots Alliance Inc,walgreensbootsalliance,Walgreens Boots Alliance,Walgreens
WCG,"WellCare Health Plans, Inc.","WellCare Health Plans, Inc.",wellcare,WellCare Health Plans,WellCare
WDC,Western Digital Corp.,Western Digital Corporation,wdc,Western Digital,Western
WEC,"WEC Energy Group, Inc.",WEC Energy Group Inc,wecenergygroup,WEC Energy Group,WEC
WELL,"Welltower, Inc.","Welltower, Inc.",welltower,Welltower,Welltower
WFC,Wells Fargo & Co.,Wells Fargo & Company,wellsfargo,Wells Fargo,Wells
WHR,Whirlpool Corp.,Whirlpool Corporation,whirlpoolcorp,Whirlpool,Whirlpool
WLTW,Willis Towers Watson Plc,Willis Towers Watson Public Limited Company,willistowerswatson,Willis Towers Watson,Willis
WM,"Waste Management, Inc.","Waste Management, Inc.",wm,Waste Management,Waste
WMB,"The Williams Cos., Inc.","Williams Companies, Inc.",williams,Williams Cos.,Williams
WMT,"Walmart, Inc.",Walmart Inc.,walmart,Walmart,Walmart
WRK,WestRock Co.,WestRock Company,westrock,WestRock,WestRock
WU,The Western Union Co.,Western Union Company,westernunion,Western Union,Western
WY,Weyerhaeuser Co.,Weyerhaeuser Company,weyerhaeuser,Weyerhaeuser,Weyerhaeuser
WYNN,Wynn Resorts Ltd.,"Wynn Resorts, Limited",wynnresorts,Wynn Resorts,Wynn
XEC,Cimarex Energy Co.,Cimarex Energy Co.,cimarex,Cimarex Energy,Cimarex
XEL,"Xcel Energy, Inc.",Xcel Energy Inc.,xcelenergy,Xcel Energy,Xcel
XLNX,"Xilinx, Inc.","Xilinx, Inc.",xilinx,Xilinx,Xilinx
XOM,Exxon Mobil Corp.,Exxon Mobil Corporation,exxonmobil,Exxon Mobil,Exxon
XRAY,"Dentsply Sirona, Inc.","DENTSPLY SIRONA, Inc.",dentsplysirona,Dentsply Sirona,Dentsply
XRX,Xerox Holdings Corp.,Xerox Holdings Corporation,xerox,Xerox Holdings,Xerox
XYL,"Xylem, Inc.",Xylem Inc.,xyleminc,Xylem,Xylem
YUM,"Yum! Brands, Inc.","Yum! Brands, Inc.",yum,Yum! Brands,Yum!
ZBH,"Zimmer Biomet Holdings, Inc.","Zimmer Biomet Holdings, Inc.",zimmerbiomet,Zimmer Biomet Holdings,Zimmer
ZION,Zions Bancorporation NA,"Zions Bancorporation, N.A.",zionsbancorporation,Zions Bancorporation NA,Zions
ZTS,"Zoetis, Inc.","Zoetis, Inc. Class A",zoetis,Zoetis,Zoetis
